PRE_x_5_sig_First_SNC PRE_y_5_sig_First_SNC BRN_x_5_sig_First_SNC BRN_y_5_sig_First_SNC PST_x_5_sig_First_SNC PST_y_5_sig_First_SNC PRE_x_7.5_sig_Per_SNC PRE_y_7.5_sig_Per_SNC BRN_x_7.5_sig_Per_SNC BRN_y_7.5_sig_Per_SNC PST_x_7.5_sig_Per_SNC PST_y_7.5_sig_Per_SNC PRE_x_10_sig_Per_SNC PRE_y_10_sig_Per_SNC BRN_x_10_sig_Per_SNC BRN_y_10_sig_Per_SNC PST_x_10_sig_Per_SNC PST_y_10_sig_Per_SNC PRE_x_12.5_sig_Per_SNC PRE_y_12.5_sig_Per_SNC BRN_x_12.5_sig_Per_SNC BRN_y_12.5_sig_Per_SNC PST_x_12.5_sig_Per_SNC PST_y_12.5_sig_Per_SNC PRE_x_15_sig_Per_SNC PRE_y_15_sig_Per_SNC BRN_x_15_sig_Per_SNC BRN_y_15_sig_Per_SNC PST_x_15_sig_Per_SNC PST_y_15_sig_Per_SNC
0.024999999999999994 1943796.458263635 0.024999999999999994 2167699.6815881063 0.024999999999999994 4297422.132916805 0.024999999999999994 1943796.458263635 0.024999999999999994 2720806.8652026257 0.024999999999999994 4441394.02421005 0.024999999999999994 1943796.458263635 0.024999999999999994 2775615.0518366266 0.024999999999999994 4418374.59226599 0.024999999999999994 1943796.458263635 0.024999999999999994 2799698.8886226984 0.024999999999999994 4395890.8184964685 0.024999999999999994 1943796.458263635 0.024999999999999994 2903207.046110542 0.024999999999999994 4399922.675185261
0.075 4152243.84848557 0.075 5612091.965803742 0.075 8451377.230558416 0.075 4152243.84848557 0.075 7032954.01938684 0.075 8814288.676996524 0.075 4152243.84848557 0.075 7184122.472280853 0.075 8768360.914391682 0.075 4152243.84848557 0.075 7249150.192250324 0.075 8722917.096470892 0.075 4152243.84848557 0.075 7518866.946976633 0.075 8729954.96925652
0.125 5249935.5466074245 0.125 8069060.510330461 0.125 10533388.872658499 0.125 5249935.5466074245 0.125 10041659.07123999 0.125 11052297.140887363 0.125 5249935.5466074245 0.125 10262489.869143901 0.125 10994351.697001832 0.125 5249935.5466074245 0.125 10354077.432407226 0.125 10936920.119727038 0.125 5249935.5466074245 0.125 10736130.429266531 0.125 10950266.602008967
0.17500000000000002 6293727.391370079 0.17500000000000002 10225304.370288143 0.17500000000000002 13084295.285394985 0.17500000000000002 6293727.391370079 0.17500000000000002 12721173.166783724 0.17500000000000002 13708050.174803333 0.17500000000000002 6293727.391370079 0.17500000000000002 13002391.43120569 0.17500000000000002 13636313.173628649 0.17500000000000002 6293727.391370079 0.17500000000000002 13125594.077345572 0.17500000000000002 13565140.96829958 0.17500000000000002 6293727.391370079 0.17500000000000002 13607224.182516735 0.17500000000000002 13576952.383217266
0.225 6299393.160937618 0.225 12023981.185509086 0.225 12090757.098545678 0.225 6299393.160937618 0.225 14891764.88929497 0.225 12757407.48688446 0.225 6299393.160937618 0.225 15223174.37103318 0.225 12690475.522555402 0.225 6299393.160937618 0.225 15367680.246039066 0.225 12623919.277868448 0.225 6299393.160937618 0.225 15924521.09089448 0.225 12646561.44335609
0.275 5853416.940946583 0.275 12734193.648808165 0.275 11006759.61286575 0.275 5853416.940946583 0.275 15745179.992776582 0.275 11634216.417159798 0.275 5853416.940946583 0.275 16095400.214804294 0.275 11573107.651752587 0.275 5853416.940946583 0.275 16246392.864240864 0.275 11513337.574608827 0.275 5853416.940946583 0.275 16828858.265536394 0.275 11524354.497263871
0.32500000000000007 6214647.316258373 0.32500000000000007 11837260.380524278 0.32500000000000007 11342047.126784803 0.32500000000000007 6214647.316258373 0.32500000000000007 14630874.087673403 0.32500000000000007 12032173.382298816 0.32500000000000007 6214647.316258373 0.32500000000000007 14950209.63659157 0.32500000000000007 11968540.78951987 0.32500000000000007 6214647.316258373 0.32500000000000007 15091429.638445646 0.32500000000000007 11908130.900470098 0.32500000000000007 6214647.316258373 0.32500000000000007 15630726.07185232 0.32500000000000007 11915848.793458343
0.375 6357668.469579812 0.375 10275271.25742992 0.375 11456157.439449385 0.375 6357668.469579812 0.375 12719117.619940959 0.375 12130107.003296986 0.375 6357668.469579812 0.375 12994472.850149855 0.375 12064509.881374102 0.375 6357668.469579812 0.375 13117768.481384002 0.375 12003306.202929357 0.375 6357668.469579812 0.375 13584210.676596332 0.375 12014815.798977006
0.42500000000000004 6236534.381172265 0.42500000000000004 8992591.96629391 0.42500000000000004 10837576.34372516 0.42500000000000004 6236534.381172265 0.42500000000000004 11243374.414274868 0.42500000000000004 11434596.587465346 0.42500000000000004 6236534.381172265 0.42500000000000004 11491803.712398686 0.42500000000000004 11372620.559463931 0.42500000000000004 6236534.381172265 0.42500000000000004 11610674.37530383 0.42500000000000004 11313572.57206568 0.42500000000000004 6236534.381172265 0.42500000000000004 12024381.246951716 0.42500000000000004 11320818.220518382
0.475 6251857.668557414 0.475 7956509.580458936 0.475 10008268.465783713 0.475 6251857.668557414 0.475 10056379.600571629 0.475 10546453.647977835 0.475 6251857.668557414 0.475 10281972.033006536 0.475 10489891.898979696 0.475 6251857.668557414 0.475 10391391.912562476 0.475 10434704.503727809 0.475 6251857.668557414 0.475 10763495.541985175 0.475 10444428.869353328
