PRE_x_5_sig_First_SNC PRE_y_5_sig_First_SNC PRE_x_7.5_sig_Per_SNC PRE_y_7.5_sig_Per_SNC PRE_x_10_sig_Per_SNC PRE_y_10_sig_Per_SNC PRE_x_12.5_sig_Per_SNC PRE_y_12.5_sig_Per_SNC PRE_x_15_sig_Per_SNC PRE_y_15_sig_Per_SNC BRN_x_5_sig_First_SNC BRN_y_5_sig_First_SNC BRN_x_7.5_sig_Per_SNC BRN_y_7.5_sig_Per_SNC BRN_x_10_sig_Per_SNC BRN_y_10_sig_Per_SNC BRN_x_12.5_sig_Per_SNC BRN_y_12.5_sig_Per_SNC BRN_x_15_sig_Per_SNC BRN_y_15_sig_Per_SNC PST_x_5_sig_First_SNC PST_y_5_sig_First_SNC PST_x_7.5_sig_Per_SNC PST_y_7.5_sig_Per_SNC PST_x_10_sig_Per_SNC PST_y_10_sig_Per_SNC PST_x_12.5_sig_Per_SNC PST_y_12.5_sig_Per_SNC PST_x_15_sig_Per_SNC PST_y_15_sig_Per_SNC
0.024999999999999994 25875.388148090973 0.024999999999999994 25875.388148090973 0.024999999999999994 25875.388148090973 0.024999999999999994 25875.388148090973 0.024999999999999994 25875.388148090973 0.024999999999999994 32540.973869803413 0.024999999999999994 35052.60493058203 0.024999999999999994 34241.19532478008 0.024999999999999994 34212.122832107336 0.024999999999999994 33652.53082791555 0.024999999999999994 62783.88437736448 0.024999999999999994 64143.892566984076 0.024999999999999994 63919.30278661018 0.024999999999999994 63720.65450636224 0.024999999999999994 62731.33243028628
0.075 6517.557827095423 0.075 6517.557827095423 0.075 6517.557827095423 0.075 6517.557827095423 0.075 6517.557827095423 0.075 5218.688145789494 0.075 5925.93099494074 0.075 5898.845323458726 0.075 5934.166018432434 0.075 6023.076117307187 0.075 15309.016497307775 0.075 15491.309965301887 0.075 15408.278892076238 0.075 15350.436435878488 0.075 15225.939022205775
0.125 4056.0367920059375 0.125 4056.0367920059375 0.125 4056.0367920059375 0.125 4056.0367920059375 0.125 4056.0367920059375 0.125 3525.5724318975167 0.125 3990.3609628835666 0.125 3945.864073601468 0.125 3949.746016376062 0.125 3959.8719251071793 0.125 9235.229926617098 0.125 9249.31184287082 0.125 9197.650377027345 0.125 9154.264735603048 0.125 9111.876671763266
0.17500000000000002 3275.649144433782 0.17500000000000002 3275.649144433782 0.17500000000000002 3275.649144433782 0.17500000000000002 3275.649144433782 0.17500000000000002 3275.649144433782 0.17500000000000002 2678.5672979426813 0.17500000000000002 3114.433765439796 0.17500000000000002 3063.844760526748 0.17500000000000002 3073.996038675338 0.17500000000000002 3088.5066584443416 0.17500000000000002 6580.378132415755 0.17500000000000002 6666.216312455363 0.17500000000000002 6630.027613667387 0.17500000000000002 6593.3289941788435 0.17500000000000002 6547.566002902812
0.225 2845.2765769123134 0.225 2845.2765769123134 0.225 2845.2765769123134 0.225 2845.2765769123134 0.225 2845.2765769123134 0.225 2294.92666849279 0.225 2669.953154962569 0.225 2647.7209539944306 0.225 2660.1825388178695 0.225 2714.833539081203 0.225 5401.155459251641 0.225 5481.266982998409 0.225 5461.802579056711 0.225 5427.435276105597 0.225 5398.0635217441495
0.275 2539.5916773554254 0.275 2539.5916773554254 0.275 2539.5916773554254 0.275 2539.5916773554254 0.275 2539.5916773554254 0.275 2121.3763159241016 0.275 2488.0487536394166 0.275 2496.8763937136073 0.275 2525.350103935763 0.275 2567.0692289821095 0.275 5078.384752684219 0.275 5209.010366407645 0.275 5177.348543012286 0.275 5153.566787000674 0.275 5100.236438619503
0.32500000000000007 2227.1948796127645 0.32500000000000007 2227.1948796127645 0.32500000000000007 2227.1948796127645 0.32500000000000007 2227.1948796127645 0.32500000000000007 2227.1948796127645 0.32500000000000007 2022.754007305707 0.32500000000000007 2367.088866428218 0.32500000000000007 2343.1443114699296 0.32500000000000007 2366.2078445653665 0.32500000000000007 2430.743048480172 0.32500000000000007 4401.963955398511 0.32500000000000007 4520.562667102768 0.32500000000000007 4495.195914494786 0.32500000000000007 4479.201066116543 0.32500000000000007 4426.158171999446
0.375 2191.121781482614 0.375 2191.121781482614 0.375 2191.121781482614 0.375 2191.121781482614 0.375 2191.121781482614 0.375 1728.9945047941055 0.375 2083.935498765001 0.375 2038.4243706398486 0.375 2063.418983904252 0.375 2095.0330918736136 0.375 4213.841146536327 0.375 4316.812237633008 0.375 4290.641618143043 0.375 4260.690107588678 0.375 4227.099057232434
0.42500000000000004 2111.320503996767 0.42500000000000004 2111.320503996767 0.42500000000000004 2111.320503996767 0.42500000000000004 2111.320503996767 0.42500000000000004 2111.320503996767 0.42500000000000004 1842.4845292770149 0.42500000000000004 2047.0386964833715 0.42500000000000004 2035.9621755068315 0.42500000000000004 2047.443138435704 0.42500000000000004 2098.701537315533 0.42500000000000004 3957.3527678637925 0.42500000000000004 4010.828204653373 0.42500000000000004 3987.5296925550597 0.42500000000000004 3961.3575873303516 0.42500000000000004 3929.5103165985806
0.475 1999.5143029193634 0.475 1999.5143029193634 0.475 1999.5143029193634 0.475 1999.5143029193634 0.475 1999.5143029193634 0.475 1805.7679722077519 0.475 2019.2581180685077 0.475 1993.5470502295298 0.475 1999.7939793963708 0.475 2082.521174750588 0.475 3854.7083841557774 0.475 4003.9950628475035 0.475 3976.754952811062 0.475 3954.1832553665986 0.475 3894.6391355372816
