PRE_x_5_sig_First_SNC PRE_y_5_sig_First_SNC PRE_x_7.5_sig_Per_SNC PRE_y_7.5_sig_Per_SNC PRE_x_10_sig_Per_SNC PRE_y_10_sig_Per_SNC PRE_x_12.5_sig_Per_SNC PRE_y_12.5_sig_Per_SNC PRE_x_15_sig_Per_SNC PRE_y_15_sig_Per_SNC BRN_x_5_sig_First_SNC BRN_y_5_sig_First_SNC BRN_x_7.5_sig_Per_SNC BRN_y_7.5_sig_Per_SNC BRN_x_10_sig_Per_SNC BRN_y_10_sig_Per_SNC BRN_x_12.5_sig_Per_SNC BRN_y_12.5_sig_Per_SNC BRN_x_15_sig_Per_SNC BRN_y_15_sig_Per_SNC PST_x_5_sig_First_SNC PST_y_5_sig_First_SNC PST_x_7.5_sig_Per_SNC PST_y_7.5_sig_Per_SNC PST_x_10_sig_Per_SNC PST_y_10_sig_Per_SNC PST_x_12.5_sig_Per_SNC PST_y_12.5_sig_Per_SNC PST_x_15_sig_Per_SNC PST_y_15_sig_Per_SNC
0.024999999999999994 12268.87147672003 0.024999999999999994 12268.87147672003 0.024999999999999994 12268.87147672003 0.024999999999999994 12268.87147672003 0.024999999999999994 12268.87147672003 0.024999999999999994 21634278.534869984 0.024999999999999994 29045643.44313078 0.024999999999999994 29943772.17400365 0.024999999999999994 31211119.371479303 0.024999999999999994 32537058.307013437 0.024999999999999994 6083298.844121735 0.024999999999999994 4566352.9919951605 0.024999999999999994 4568488.336314806 0.024999999999999994 4180733.4647339014 0.024999999999999994 4208508.0600668015
0.075 3818.026666199228 0.075 3818.026666199228 0.075 3818.026666199228 0.075 3818.026666199228 0.075 3818.026666199228 0.075 16128288.262636155 0.075 20480937.476045214 0.075 20986842.356147636 0.075 22134073.41042203 0.075 23078684.37437227 0.075 3307476.24348056 0.075 2876297.789757661 0.075 2883608.239864326 0.075 2531332.6584521574 0.075 2511141.839289904
0.125 3194.886511149844 0.125 3194.886511149844 0.125 3194.886511149844 0.125 3194.886511149844 0.125 3194.886511149844 0.125 18683298.622304276 0.125 23843070.506141458 0.125 24447444.87878876 0.125 25270475.60198796 0.125 26354243.79651338 0.125 3080875.261503092 0.125 2670783.3893337427 0.125 2688193.642625024 0.125 2504718.479480998 0.125 2489090.3805564437
0.17500000000000002 3023.3122068623984 0.17500000000000002 3023.3122068623984 0.17500000000000002 3023.3122068623984 0.17500000000000002 3023.3122068623984 0.17500000000000002 3023.3122068623984 0.17500000000000002 21725294.776265312 0.17500000000000002 28253162.740022156 0.17500000000000002 29000180.93344284 0.17500000000000002 30042738.301844545 0.17500000000000002 31813829.225599073 0.17500000000000002 4578526.856188029 0.17500000000000002 3575656.0700918683 0.17500000000000002 3821815.914750211 0.17500000000000002 3592664.9345558845 0.17500000000000002 3353909.934875356
0.225 2680.2060212252836 0.225 2680.2060212252836 0.225 2680.2060212252836 0.225 2680.2060212252836 0.225 2680.2060212252836 0.225 23105465.9752338 0.225 29272489.166350488 0.225 30070596.39711839 0.225 31047931.150799513 0.225 32830105.869670857 0.225 3137157.825118682 0.225 2713443.0983238826 0.225 2907310.3487017606 0.225 2679906.284087204 0.225 2425325.933616797
0.275 2488.2212480821063 0.275 2488.2212480821063 0.275 2488.2212480821063 0.275 2488.2212480821063 0.275 2488.2212480821063 0.275 27336642.248387437 0.275 34955132.93088431 0.275 35839607.611865744 0.275 37173216.339658245 0.275 38782669.47283514 0.275 4097266.813134813 0.275 3117647.1870574574 0.275 3155680.49280669 0.275 2808467.050038976 0.275 2776582.629082159
0.32500000000000007 2242.6786609535047 0.32500000000000007 2242.6786609535047 0.32500000000000007 2242.6786609535047 0.32500000000000007 2242.6786609535047 0.32500000000000007 2242.6786609535047 0.32500000000000007 23500129.676017936 0.32500000000000007 31008047.84576484 0.32500000000000007 31782380.15978645 0.32500000000000007 32958855.39413712 0.32500000000000007 34549326.817420475 0.32500000000000007 5654611.474876482 0.32500000000000007 3482121.4550948367 0.32500000000000007 3614683.682858073 0.32500000000000007 3311900.3936606804 0.32500000000000007 3213080.5075789527
0.375 2131.957049586779 0.375 2131.957049586779 0.375 2131.957049586779 0.375 2131.957049586779 0.375 2131.957049586779 0.375 24013064.277192473 0.375 27108112.245556813 0.375 27786530.889649846 0.375 29256871.969081774 0.375 31372618.034968406 0.375 5599346.722362583 0.375 5493650.848599372 0.375 5947983.734031713 0.375 5495695.011456674 0.375 5152983.553287179
0.42500000000000004 2009.5544953148217 0.42500000000000004 2009.5544953148217 0.42500000000000004 2009.5544953148217 0.42500000000000004 2009.5544953148217 0.42500000000000004 2009.5544953148217 0.42500000000000004 25786426.14227028 0.42500000000000004 28966554.089760713 0.42500000000000004 29755001.25335002 0.42500000000000004 31169881.798652776 0.42500000000000004 33025889.728768773 0.42500000000000004 3252571.3910248294 0.42500000000000004 3088270.1073391256 0.42500000000000004 3346154.105570362 0.42500000000000004 2979150.4124008636 0.42500000000000004 2757165.460320489
0.475 1908.4105721614746 0.475 1908.4105721614746 0.475 1908.4105721614746 0.475 1908.4105721614746 0.475 1908.4105721614746 0.475 28006631.354952987 0.475 36486651.65475074 0.475 37505182.39680925 0.475 38801717.259674355 0.475 40397238.71167784 0.475 4776617.053598854 0.475 2771234.2212236435 0.475 2828678.6474704677 0.475 2522365.1743247197 0.475 2523703.748314816
0.525 1895.8393504825751 0.525 1895.8393504825751 0.525 1895.8393504825751 0.525 1895.8393504825751 0.525 1895.8393504825751 0.525 25188957.867255528 0.525 30851755.825877536 0.525 31741796.30580444 0.525 32784948.377694927 0.525 34633811.72969459 0.525 3223054.763598496 0.525 3213188.1153498855 0.525 3475875.8630008814 0.525 3241773.4574004826 0.525 3056759.2491743644
0.5750000000000001 1700.050854638912 0.5750000000000001 1700.050854638912 0.5750000000000001 1700.050854638912 0.5750000000000001 1700.050854638912 0.5750000000000001 1700.050854638912 0.5750000000000001 21827342.20804909 0.5750000000000001 32394153.834922764 0.5750000000000001 33322136.84209255 0.5750000000000001 34506744.18865599 0.5750000000000001 36719187.868668385 0.5750000000000001 5568045.916316431 0.5750000000000001 3584148.0431203702 0.5750000000000001 3905218.2817410314 0.5750000000000001 3662229.4626752352 0.5750000000000001 3317926.71937269
0.6250000000000001 1647.7866087151995 0.6250000000000001 1647.7866087151995 0.6250000000000001 1647.7866087151995 0.6250000000000001 1647.7866087151995 0.6250000000000001 1647.7866087151995 0.6250000000000001 22150710.931618296 0.6250000000000001 31606746.94705147 0.6250000000000001 32560605.46122454 0.6250000000000001 34234163.9387614 0.6250000000000001 36127330.65356148 0.6250000000000001 5103315.357836697 0.6250000000000001 3437606.4208991057 0.6250000000000001 3657355.4050486246 0.6250000000000001 3134697.3776418315 0.6250000000000001 2937674.3191844677
0.675 1459.2759135338983 0.675 1459.2759135338983 0.675 1459.2759135338983 0.675 1459.2759135338983 0.675 1459.2759135338983 0.675 24173281.785103817 0.675 30829944.285289288 0.675 31678455.953111406 0.675 32812702.863380127 0.675 34307455.211430326 0.675 4565977.637378426 0.675 4294924.095663861 0.675 4297409.168543883 0.675 4069451.338588928 0.675 4051571.9379366073
0.7250000000000001 1417.1812558189424 0.7250000000000001 1417.1812558189424 0.7250000000000001 1417.1812558189424 0.7250000000000001 1417.1812558189424 0.7250000000000001 1417.1812558189424 0.7250000000000001 27413076.86140511 0.7250000000000001 31039278.807442997 0.7250000000000001 31998782.34886384 0.7250000000000001 33051809.445129547 0.7250000000000001 35053756.48700356 0.7250000000000001 3972163.7544931546 0.7250000000000001 3374619.002452027 0.7250000000000001 3552372.8256017645 0.7250000000000001 3336949.346371253 0.7250000000000001 3105838.5850881445
0.775 1365.8590214923202 0.775 1365.8590214923202 0.775 1365.8590214923202 0.775 1365.8590214923202 0.775 1365.8590214923202 0.775 26401769.364455212 0.775 29371155.092232503 0.775 30233346.41176824 0.775 31356807.305474594 0.775 33385926.735677302 0.775 3954431.6506613824 0.775 3137913.174112364 0.775 3483698.083631797 0.775 3221759.717013152 0.775 2934953.5150451176
0.8250000000000001 1305.8556175246486 0.8250000000000001 1305.8556175246486 0.8250000000000001 1305.8556175246486 0.8250000000000001 1305.8556175246486 0.8250000000000001 1305.8556175246486 0.8250000000000001 24100265.73967324 0.8250000000000001 28437017.715874813 0.8250000000000001 29202586.966512155 0.8250000000000001 30317623.682828482 0.8250000000000001 31985549.544047136 0.8250000000000001 5134299.715540288 0.8250000000000001 3485063.508481899 0.8250000000000001 3653978.2266914314 0.8250000000000001 3385103.1360485633 0.8250000000000001 3248527.6453096597
0.8750000000000001 1290.881687634041 0.8750000000000001 1290.881687634041 0.8750000000000001 1290.881687634041 0.8750000000000001 1290.881687634041 0.8750000000000001 1290.881687634041 0.8750000000000001 29469011.86545432 0.8750000000000001 40449128.65802476 0.8750000000000001 41485749.754582234 0.8750000000000001 42898714.65835109 0.8750000000000001 44841639.118269876 0.8750000000000001 7177334.409528377 0.8750000000000001 3803738.0230506137 0.8750000000000001 3940100.7164957495 0.8750000000000001 3593149.721916568 0.8750000000000001 3545418.0736210966
0.925 1263.1522350475427 0.925 1263.1522350475427 0.925 1263.1522350475427 0.925 1263.1522350475427 0.925 1263.1522350475427 0.925 23742388.70088361 0.925 31868929.877593152 0.925 32786924.828697212 0.925 34105141.59144639 0.925 36072208.57079662 0.925 5212684.763665638 0.925 3393578.936977149 0.925 3643450.766409946 0.925 3284766.142739261 0.925 3096255.062636438
0.9750000000000001 1180.1988660807688 0.9750000000000001 1180.1988660807688 0.9750000000000001 1180.1988660807688 0.9750000000000001 1180.1988660807688 0.9750000000000001 1180.1988660807688 0.9750000000000001 20227090.90826007 0.9750000000000001 30256868.085933026 0.9750000000000001 31183265.354730614 0.9750000000000001 32462650.9947639 0.9750000000000001 34432015.4652165 0.9750000000000001 5832966.682817331 0.9750000000000001 3594829.7509316755 0.9750000000000001 3821505.1611882467 0.9750000000000001 3492093.0969502036 0.9750000000000001 3221301.5535509177
1.025 1179.7349378489257 1.025 1179.7349378489257 1.025 1179.7349378489257 1.025 1179.7349378489257 1.025 1179.7349378489257 1.025 23207535.283294998 1.025 29907591.65068457 1.025 30749849.704827372 1.025 32012052.473719966 1.025 33592526.735893615 1.025 4540188.985895794 1.025 3590524.551437072 1.025 3697149.015780386 1.025 3331679.3203240656 1.025 3246274.7054426894
1.075 1080.0254071285274 1.075 1080.0254071285274 1.075 1080.0254071285274 1.075 1080.0254071285274 1.075 1080.0254071285274 1.075 23615946.76201226 1.075 37320922.992765814 1.075 38453337.52946226 1.075 39670013.66703446 1.075 41645426.90686642 1.075 8777471.003985034 1.075 3494490.4227986326 1.075 3590320.673525198 1.075 3280796.924028583 1.075 3129630.072059297
1.125 1064.0351429752275 1.125 1064.0351429752275 1.125 1064.0351429752275 1.125 1064.0351429752275 1.125 1064.0351429752275 1.125 24541616.28964188 1.125 28759955.18904403 1.125 29708912.917677686 1.125 30939767.764662087 1.125 32880400.72596921 1.125 3887803.818227518 1.125 2957303.289674788 1.125 3145867.9259711294 1.125 2802477.0725453794 1.125 2499035.94966775
1.175 1034.7335179991205 1.175 1034.7335179991205 1.175 1034.7335179991205 1.175 1034.7335179991205 1.175 1034.7335179991205 1.175 29862059.4849298 1.175 35230041.3064845 1.175 36234047.31754645 1.175 37419908.36656448 1.175 39342187.71020414 1.175 4750393.447262743 1.175 3106190.1225563893 1.175 3226712.4194118693 1.175 2903546.7286028713 1.175 2727338.9867957174
1.225 940.6991759377188 1.225 940.6991759377188 1.225 940.6991759377188 1.225 940.6991759377188 1.225 940.6991759377188 1.225 26495161.5606432 1.225 35697756.7593949 1.225 36616063.41528386 1.225 37833832.52745555 1.225 39410253.56000281 1.225 6161917.315025605 1.225 2823349.166936408 1.225 2840387.2673225175 1.225 2548026.6390375257 1.225 2507222.871632121
1.275 989.7860117327793 1.275 989.7860117327793 1.275 989.7860117327793 1.275 989.7860117327793 1.275 989.7860117327793 1.275 26684242.790188354 1.275 32033040.24663277 1.275 32972946.939549007 1.275 33943236.363413416 1.275 35726353.27753101 1.275 5392510.513924746 1.275 3645481.5987857603 1.275 3792684.3697425616 1.275 3589167.476354832 1.275 3407566.9515816346
1.325 957.0397200939437 1.325 957.0397200939437 1.325 957.0397200939437 1.325 957.0397200939437 1.325 957.0397200939437 1.325 26686728.826878365 1.325 35835083.96786313 1.325 36906127.61297635 1.325 37925059.18447586 1.325 40048856.86554486 1.325 5118023.905514714 1.325 2287322.379801907 1.325 2506962.6256492287 1.325 2305314.396403413 1.325 2064017.330862468
1.375 949.0603454204977 1.375 949.0603454204977 1.375 949.0603454204977 1.375 949.0603454204977 1.375 949.0603454204977 1.375 22448298.855651967 1.375 30801078.688617613 1.375 31759364.82028628 1.375 32589437.77480396 1.375 34116440.9715829 1.375 4426799.539718941 1.375 2630247.051580455 1.375 2687847.499583514 1.375 2542095.4652613564 1.375 2430636.787733367
1.425 934.5955038111065 1.425 934.5955038111065 1.425 934.5955038111065 1.425 934.5955038111065 1.425 934.5955038111065 1.425 22627301.110479183 1.425 34995022.24333277 1.425 35985037.38582233 1.425 36985424.65038146 1.425 38563845.480223745 1.425 6221348.322489537 1.425 3043880.120394207 1.425 3127998.0338559425 1.425 2921426.3832404255 1.425 2854394.651812704
1.475 899.6669460698555 1.475 899.6669460698555 1.475 899.6669460698555 1.475 899.6669460698555 1.475 899.6669460698555 1.475 21362515.90964482 1.475 30409418.987098258 1.475 31258592.102563806 1.475 32375907.67320319 1.475 34246621.89066044 1.475 5488340.390928677 1.475 3539090.5244530076 1.475 3791865.408447512 1.475 3506879.111855182 1.475 3271549.9434359847
