BRNSNC brn_ts_0_sig brn_id_0_sig brn_ts_3_sig brn_id_3_sig brn_ts_5_sig brn_id_5_sig brn_ts_8_sig brn_id_8_sig brn_ts_10_sig brn_id_10_sig brn_ts_15_sig brn_id_15_sig brn_ts_20_sig brn_id_20_sig brn_ts_25_sig brn_id_25_sig brn_ts_30_sig brn_id_30_sig brn_ts_35_sig brn_id_35_sig brn_ts_+0C brn_id_+0C brn_ts_+2C brn_id_+2C brn_ts_+4C brn_id_+4C brn_ts_+6C brn_id_+6C brn_ts_+8C brn_id_+8C brn_ts_+10C brn_id_+10C brn_ts_+12.5C brn_id_+12.5C brn_ts_+15C brn_id_+15C brn_ts_+17.5C brn_id_+17.5C brn_ts_+20C brn_id_+20C
B01C3 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:07:45.700" 21172.0 "2018-03-05 14:09:31.300" 22228.0 "2018-03-05 14:09:33.500" 22250.0 "2018-03-05 14:09:33.600" 22251.0 "2018-03-05 14:09:33.600" 22251.0 "2018-03-05 14:09:33.700" 22252.0 "2018-03-05 14:09:33.800" 22253.0 "2018-03-05 14:09:42.300" 22338.0 "2018-03-05 14:09:42.300" 22338.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:33.500" 22250.0 "2018-03-05 14:09:33.600" 22251.0 "2018-03-05 14:09:33.700" 22252.0 "2018-03-05 14:09:42.300" 22338.0 "2018-03-05 14:09:42.600" 22341.0 "2018-03-05 14:10:24.700" 22762.0 "2018-03-05 14:10:24.700" 22762.0 "2018-03-05 14:10:37.200" 22887.0 "2018-03-05 14:10:37.300" 22888.0
B01C4 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:07:42.800" 21143.0 "2018-03-05 14:09:29.700" 22212.0 "2018-03-05 14:09:29.700" 22212.0 "2018-03-05 14:09:29.800" 22213.0 "2018-03-05 14:09:29.900" 22214.0 "2018-03-05 14:09:33.100" 22246.0 "2018-03-05 14:09:33.100" 22246.0 "2018-03-05 14:09:33.100" 22246.0 "2018-03-05 14:09:37.400" 22289.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:29.700" 22212.0 "2018-03-05 14:09:29.800" 22213.0 "2018-03-05 14:09:33.100" 22246.0 "2018-03-05 14:09:33.100" 22246.0 "2018-03-05 14:09:37.400" 22289.0 "2018-03-05 14:09:37.500" 22290.0 "2018-03-05 14:09:37.500" 22290.0 "2018-03-05 14:10:42.000" 22935.0 "2018-03-05 14:10:42.000" 22935.0
B01D1 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:08:17.600" 21491.0 "2018-03-05 14:09:45.200" 22367.0 "2018-03-05 14:09:45.300" 22368.0 "2018-03-05 14:09:45.300" 22368.0 "2018-03-05 14:16:06.100" 26176.0 "2018-03-05 14:16:08.500" 26200.0 "2018-03-05 14:16:09.300" 26208.0 "2018-03-05 14:16:13.300" 26248.0 "2018-03-05 14:20:39.100" 28906.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:45.300" 22368.0 "2018-03-05 14:16:06.100" 26176.0 "2018-03-05 14:16:09.200" 26207.0 "2018-03-05 14:16:13.300" 26248.0 "2018-03-05 14:20:39.100" 28906.0 "2018-03-05 14:40:30.100" 40816.0 "2018-03-05 14:41:07.300" 41188.0 "2018-03-05 14:41:07.300" 41188.0 "2018-03-05 14:41:07.300" 41188.0
B01D2 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:08:16.000" 21475.0 "2018-03-05 14:09:45.400" 22369.0 "2018-03-05 14:09:49.600" 22411.0 "2018-03-05 14:09:52.700" 22442.0 "2018-03-05 14:10:29.700" 22812.0 "2018-03-05 14:10:29.700" 22812.0 "2018-03-05 14:10:29.800" 22813.0 "2018-03-05 14:10:29.900" 22814.0 "2018-03-05 14:11:26.000" 23375.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:49.600" 22411.0 "2018-03-05 14:10:29.700" 22812.0 "2018-03-05 14:10:29.700" 22812.0 "2018-03-05 14:10:29.900" 22814.0 "2018-03-05 14:11:26.000" 23375.0 "2018-03-05 14:11:26.900" 23384.0 "2018-03-05 14:11:27.000" 23385.0 "2018-03-05 14:20:24.000" 28755.0 "2018-03-05 14:20:24.000" 28755.0
B01D3 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:08:16.000" 21475.0 "2018-03-05 14:09:34.400" 22259.0 "2018-03-05 14:09:34.400" 22259.0 "2018-03-05 14:09:34.400" 22259.0 "2018-03-05 14:09:35.200" 22267.0 "2018-03-05 14:09:56.400" 22479.0 "2018-03-05 14:09:56.400" 22479.0 "2018-03-05 14:10:08.300" 22598.0 "2018-03-05 14:10:08.300" 22598.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:34.400" 22259.0 "2018-03-05 14:09:35.700" 22272.0 "2018-03-05 14:09:56.400" 22479.0 "2018-03-05 14:10:08.300" 22598.0 "2018-03-05 14:10:08.700" 22602.0 "2018-03-05 14:10:08.900" 22604.0 "2018-03-05 14:10:09.600" 22611.0 "2018-03-05 14:10:09.600" 22611.0 "2018-03-05 14:10:33.700" 22852.0
B01D4 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:07:49.800" 21213.0 "2018-03-05 14:09:30.800" 22223.0 "2018-03-05 14:09:30.800" 22223.0 "2018-03-05 14:09:30.800" 22223.0 "2018-03-05 14:09:35.400" 22269.0 "2018-03-05 14:09:38.700" 22302.0 "2018-03-05 14:09:38.800" 22303.0 "2018-03-05 14:09:39.200" 22307.0 "2018-03-05 14:09:39.200" 22307.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:30.800" 22223.0 "2018-03-05 14:09:35.400" 22269.0 "2018-03-05 14:09:38.800" 22303.0 "2018-03-05 14:09:39.200" 22307.0 "2018-03-05 14:10:06.600" 22581.0 "2018-03-05 14:10:06.900" 22584.0 "2018-03-05 14:10:10.000" 22615.0 "2018-03-05 14:10:10.000" 22615.0 "2018-03-05 14:10:10.000" 22615.0
B02A1 "2018-03-06 11:27:46.900" 14000.0 "2018-03-06 11:27:50.500" 14036.0 "2018-03-06 11:32:41.300" 16944.0 "2018-03-06 11:32:49.100" 17022.0 "2018-03-06 11:32:52.100" 17052.0 "2018-03-06 11:33:59.700" 17728.0 "2018-03-06 11:34:03.300" 17764.0 "2018-03-06 11:34:03.500" 17766.0 "2018-03-06 11:34:39.100" 18122.0 "2018-03-06 11:34:42.600" 18157.0 "2018-03-06 11:27:46.900" 14000.0 "2018-03-06 11:30:51.500" 15846.0 "2018-03-06 11:32:49.000" 17021.0 "2018-03-06 11:32:54.300" 17074.0 "2018-03-06 11:33:59.700" 17728.0 "2018-03-06 11:34:03.300" 17764.0 "2018-03-06 11:34:03.400" 17765.0 "2018-03-06 11:34:39.100" 18122.0 "2018-03-06 11:34:42.600" 18157.0 "2018-03-06 11:34:42.600" 18157.0
B02A2 "2018-03-06 11:27:46.900" 14000.0 "2018-03-06 11:29:18.400" 14915.0 "2018-03-06 11:32:04.200" 16573.0 "2018-03-06 11:32:41.300" 16944.0 "2018-03-06 11:32:41.400" 16945.0 "2018-03-06 11:32:45.800" 16989.0 "2018-03-06 11:32:45.800" 16989.0 "2018-03-06 11:32:45.900" 16990.0 "2018-03-06 11:32:46.000" 16991.0 "2018-03-06 11:33:25.200" 17383.0 "2018-03-06 11:27:46.900" 14000.0 "2018-03-06 11:29:41.000" 15141.0 "2018-03-06 11:32:41.200" 16943.0 "2018-03-06 11:32:45.800" 16989.0 "2018-03-06 11:32:45.800" 16989.0 "2018-03-06 11:32:45.800" 16989.0 "2018-03-06 11:32:45.900" 16990.0 "2018-03-06 11:32:45.900" 16990.0 "2018-03-06 11:32:46.100" 16992.0 "2018-03-06 11:33:25.200" 17383.0
B02A3 "2018-03-06 11:27:46.900" 14000.0 "2018-03-06 11:29:46.600" 15197.0 "2018-03-06 11:31:41.200" 16343.0 "2018-03-06 11:31:47.400" 16405.0 "2018-03-06 11:31:47.500" 16406.0 "2018-03-06 11:31:47.500" 16406.0 "2018-03-06 11:31:47.700" 16408.0 "2018-03-06 11:31:50.100" 16432.0 "2018-03-06 11:31:51.200" 16443.0 "2018-03-06 11:31:52.900" 16460.0 "2018-03-06 11:27:46.900" 14000.0 "2018-03-06 11:31:41.200" 16343.0 "2018-03-06 11:31:47.400" 16405.0 "2018-03-06 11:31:47.500" 16406.0 "2018-03-06 11:31:47.500" 16406.0 "2018-03-06 11:31:47.600" 16407.0 "2018-03-06 11:31:50.100" 16432.0 "2018-03-06 11:31:51.200" 16443.0 "2018-03-06 11:31:51.600" 16447.0 "2018-03-06 11:31:52.900" 16460.0
B02A4 "2018-03-06 11:27:46.900" 14000.0 "2018-03-06 11:29:44.300" 15174.0 "2018-03-06 11:29:44.600" 15177.0 "2018-03-06 11:29:45.900" 15190.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:27:46.900" 14000.0 "2018-03-06 11:29:44.400" 15175.0 "2018-03-06 11:29:45.800" 15189.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0 "2018-03-06 11:32:08.100" 16612.0
