PRE_x_5_sig_First_SNC PRE_y_5_sig_First_SNC PRE_x_7.5_sig_Per_SNC PRE_y_7.5_sig_Per_SNC PRE_x_10_sig_Per_SNC PRE_y_10_sig_Per_SNC PRE_x_12.5_sig_Per_SNC PRE_y_12.5_sig_Per_SNC PRE_x_15_sig_Per_SNC PRE_y_15_sig_Per_SNC BRN_x_5_sig_First_SNC BRN_y_5_sig_First_SNC BRN_x_7.5_sig_Per_SNC BRN_y_7.5_sig_Per_SNC BRN_x_10_sig_Per_SNC BRN_y_10_sig_Per_SNC BRN_x_12.5_sig_Per_SNC BRN_y_12.5_sig_Per_SNC BRN_x_15_sig_Per_SNC BRN_y_15_sig_Per_SNC PST_x_5_sig_First_SNC PST_y_5_sig_First_SNC PST_x_7.5_sig_Per_SNC PST_y_7.5_sig_Per_SNC PST_x_10_sig_Per_SNC PST_y_10_sig_Per_SNC PST_x_12.5_sig_Per_SNC PST_y_12.5_sig_Per_SNC PST_x_15_sig_Per_SNC PST_y_15_sig_Per_SNC
0.024999999999999994 52076.78270345869 0.024999999999999994 52076.78270345869 0.024999999999999994 52076.78270345869 0.024999999999999994 52076.78270345869 0.024999999999999994 52076.78270345869 0.024999999999999994 49617.29361206969 0.024999999999999994 51153.37298581411 0.024999999999999994 50007.75722648755 0.024999999999999994 49841.51598338228 0.024999999999999994 51016.73663445626 0.024999999999999994 75962.19134457591 0.024999999999999994 72021.03674758266 0.024999999999999994 71802.01502105822 0.024999999999999994 71777.47134513843 0.024999999999999994 71321.15679084907
0.075 27789.854721547646 0.075 27789.854721547646 0.075 27789.854721547646 0.075 27789.854721547646 0.075 27789.854721547646 0.075 20220.803440469546 0.075 20938.85032209259 0.075 20769.387219112785 0.075 20994.554727197443 0.075 21390.016764503835 0.075 38133.38452292815 0.075 37363.5318622543 0.075 37077.65669362012 0.075 36901.8123161472 0.075 36742.78273918134
0.125 15631.576416969016 0.125 15631.576416969016 0.125 15631.576416969016 0.125 15631.576416969016 0.125 15631.576416969016 0.125 11585.644212603776 0.125 12358.81812648398 0.125 12343.199703187442 0.125 12404.507764180638 0.125 12622.386520447099 0.125 22177.53505945507 0.125 21856.149038432653 0.125 21649.992328546974 0.125 21554.3765430914 0.125 21517.400762331647
0.17500000000000002 12146.470706765283 0.17500000000000002 12146.470706765283 0.17500000000000002 12146.470706765283 0.17500000000000002 12146.470706765283 0.17500000000000002 12146.470706765283 0.17500000000000002 9000.346725937445 0.17500000000000002 9821.168127037843 0.17500000000000002 9736.106120886292 0.17500000000000002 9754.926474437178 0.17500000000000002 9869.33855870766 0.17500000000000002 17110.945863357963 0.17500000000000002 17226.533411395143 0.17500000000000002 17083.963071427966 0.17500000000000002 17018.47786941902 0.17500000000000002 16983.561077555958
0.225 10644.27500744187 0.225 10644.27500744187 0.225 10644.27500744187 0.225 10644.27500744187 0.225 10644.27500744187 0.225 7987.175479438593 0.225 8786.899152176278 0.225 8779.22177034549 0.225 8829.228515535508 0.225 9047.875814019859 0.225 13765.874472926846 0.225 13668.858574937289 0.225 13560.784406370864 0.225 13472.858122067117 0.225 13449.485638751097
0.275 9402.376986256379 0.275 9402.376986256379 0.275 9402.376986256379 0.275 9402.376986256379 0.275 9402.376986256379 0.275 7215.676644883219 0.275 7831.87326703414 0.275 7862.3785176108095 0.275 7939.882011900504 0.275 8070.857281749703 0.275 12896.487823301406 0.275 12799.809137283826 0.275 12676.264565614121 0.275 12635.801080403058 0.275 12583.188758806888
0.32500000000000007 8478.781616097329 0.32500000000000007 8478.781616097329 0.32500000000000007 8478.781616097329 0.32500000000000007 8478.781616097329 0.32500000000000007 8478.781616097329 0.32500000000000007 6643.966697558528 0.32500000000000007 7369.819333995294 0.32500000000000007 7297.825658065273 0.32500000000000007 7345.510596231451 0.32500000000000007 7532.962694486371 0.32500000000000007 11349.94906895304 0.32500000000000007 11535.097068948084 0.32500000000000007 11426.06662227063 0.32500000000000007 11394.534030780493 0.32500000000000007 11330.412330345942
0.375 8107.583023809131 0.375 8107.583023809131 0.375 8107.583023809131 0.375 8107.583023809131 0.375 8107.583023809131 0.375 6445.578222250431 0.375 7222.640779592764 0.375 7127.144445788336 0.375 7166.9603406389215 0.375 7279.813511140783 0.375 10702.94519946097 0.375 10784.289428098411 0.375 10654.692475551441 0.375 10601.488355253738 0.375 10559.982513186093
0.42500000000000004 7582.069301875337 0.42500000000000004 7582.069301875337 0.42500000000000004 7582.069301875337 0.42500000000000004 7582.069301875337 0.42500000000000004 7582.069301875337 0.42500000000000004 6064.654109889364 0.42500000000000004 6604.746695098602 0.42500000000000004 6572.7179598569155 0.42500000000000004 6594.885423182524 0.42500000000000004 6729.779074936675 0.42500000000000004 10130.727846995218 0.42500000000000004 9898.1730772835 0.42500000000000004 9779.529862662106 0.42500000000000004 9730.596514496301 0.42500000000000004 9695.89299406189
0.475 7266.192018473634 0.475 7266.192018473634 0.475 7266.192018473634 0.475 7266.192018473634 0.475 7266.192018473634 0.475 5858.580917118704 0.475 6417.3469356204705 0.475 6403.978938493088 0.475 6424.6655713131595 0.475 6634.180668580171 0.475 9476.047327431244 0.475 9553.223268122723 0.475 9430.786302687176 0.475 9419.725090653752 0.475 9356.688415737517
