PRE_x_5_sig_First_SNC PRE_y_5_sig_First_SNC BRN_x_5_sig_First_SNC BRN_y_5_sig_First_SNC PST_x_5_sig_First_SNC PST_y_5_sig_First_SNC PRE_x_7.5_sig_Per_SNC PRE_y_7.5_sig_Per_SNC BRN_x_7.5_sig_Per_SNC BRN_y_7.5_sig_Per_SNC PST_x_7.5_sig_Per_SNC PST_y_7.5_sig_Per_SNC PRE_x_10_sig_Per_SNC PRE_y_10_sig_Per_SNC BRN_x_10_sig_Per_SNC BRN_y_10_sig_Per_SNC PST_x_10_sig_Per_SNC PST_y_10_sig_Per_SNC PRE_x_12.5_sig_Per_SNC PRE_y_12.5_sig_Per_SNC BRN_x_12.5_sig_Per_SNC BRN_y_12.5_sig_Per_SNC PST_x_12.5_sig_Per_SNC PST_y_12.5_sig_Per_SNC PRE_x_15_sig_Per_SNC PRE_y_15_sig_Per_SNC BRN_x_15_sig_Per_SNC BRN_y_15_sig_Per_SNC PST_x_15_sig_Per_SNC PST_y_15_sig_Per_SNC
0.024999999999999994 328.07998618591967 0.024999999999999994 38103429.56247765 0.024999999999999994 12010277.626953142 0.024999999999999994 328.07998618591967 0.024999999999999994 52073055.02310513 0.024999999999999994 6661258.367091684 0.024999999999999994 328.07998618591967 0.024999999999999994 53279131.310708724 0.024999999999999994 6675792.112377797 0.024999999999999994 328.07998618591967 0.024999999999999994 54815998.21930651 0.024999999999999994 6240253.208210238 0.024999999999999994 328.07998618591967 0.024999999999999994 56928022.18970215 0.024999999999999994 6206501.89434422
0.075 317.59523474959013 0.075 51887172.099585116 0.075 13202340.45259141 0.075 317.59523474959013 0.075 75236588.91822259 0.075 6145413.0843481785 0.075 317.59523474959013 0.075 76939602.08271176 0.075 6169528.240061548 0.075 317.59523474959013 0.075 79157517.38249138 0.075 5567615.157326393 0.075 317.59523474959013 0.075 82153523.29250348 0.075 5528270.031400721
0.125 332.6476214265862 0.125 67596081.15577446 0.125 13214499.941105345 0.125 332.6476214265862 0.125 95422506.77221085 0.125 6235115.166298257 0.125 332.6476214265862 0.125 97590554.12087362 0.125 6280572.799241144 0.125 332.6476214265862 0.125 99488866.63426709 0.125 5933097.427478691 0.125 332.6476214265862 0.125 103298901.36261259 0.125 5888120.8511877265
0.17500000000000002 325.0183069174839 0.17500000000000002 89637803.61739261 0.17500000000000002 21484752.204623338 0.17500000000000002 325.0183069174839 0.17500000000000002 127581046.31165542 0.17500000000000002 10114374.710348982 0.17500000000000002 325.0183069174839 0.17500000000000002 130491128.29112391 0.17500000000000002 10395749.859191813 0.17500000000000002 325.0183069174839 0.17500000000000002 132961935.52286768 0.17500000000000002 9949968.379704893 0.17500000000000002 325.0183069174839 0.17500000000000002 138523207.80438456 0.17500000000000002 9647059.186568417
0.225 345.3306068281649 0.225 99347121.07635233 0.225 17529499.4333331 0.225 345.3306068281649 0.225 137000592.32228395 0.225 8065903.117299645 0.225 345.3306068281649 0.225 140150325.46135893 0.225 8349095.501545771 0.225 345.3306068281649 0.225 143313016.03262287 0.225 7658858.544350026 0.225 345.3306068281649 0.225 149313681.30465615 0.225 7325497.582648999
0.275 332.33187266815514 0.275 127375529.74131162 0.275 15488365.365357831 0.275 332.33187266815514 0.275 169315069.2138269 0.275 5889166.946341825 0.275 332.33187266815514 0.275 173110627.17450374 0.275 6007919.447431697 0.275 332.33187266815514 0.275 176871423.21788552 0.275 5233482.620498619 0.275 332.33187266815514 0.275 183630927.10915262 0.275 5110329.368194179
0.32500000000000007 320.10306803677537 0.32500000000000007 114472136.64170685 0.32500000000000007 30675676.39066189 0.32500000000000007 320.10306803677537 0.32500000000000007 168269172.91802064 0.32500000000000007 12805412.64581311 0.32500000000000007 320.10306803677537 0.32500000000000007 172024030.5668869 0.32500000000000007 12975335.179599991 0.32500000000000007 320.10306803677537 0.32500000000000007 175774181.61729223 0.32500000000000007 12177451.551730776 0.32500000000000007 320.10306803677537 0.32500000000000007 182659707.02703074 0.32500000000000007 11978696.964062577
0.375 317.0750270680136 0.375 123082207.51465753 0.375 26826259.91003213 0.375 317.0750270680136 0.375 162306621.25236166 0.375 14991643.109473314 0.375 317.0750270680136 0.375 165924190.33538938 0.375 15511360.352597672 0.375 317.0750270680136 0.375 169758215.84384292 0.375 14615678.270667097 0.375 317.0750270680136 0.375 177236217.60791954 0.375 14110357.371143632
0.42500000000000004 317.53173523953774 0.42500000000000004 124935997.0808502 0.42500000000000004 11557439.870261697 0.42500000000000004 317.53173523953774 0.42500000000000004 144051150.75933805 0.42500000000000004 7313777.639554361 0.42500000000000004 317.53173523953774 0.42500000000000004 147325858.22128823 0.42500000000000004 7744521.130892972 0.42500000000000004 317.53173523953774 0.42500000000000004 151030679.0641372 0.42500000000000004 6886307.114758503 0.42500000000000004 317.53173523953774 0.42500000000000004 157626856.06213388 0.42500000000000004 6430216.848844203
0.475 345.07024487420114 0.475 135822686.2091934 0.475 17237523.190762762 0.475 345.07024487420114 0.475 173226767.62212762 0.475 6952443.644836288 0.475 345.07024487420114 0.475 177260147.6214769 0.475 7144826.579985884 0.475 345.07024487420114 0.475 180743237.3167156 0.475 6529533.754557644 0.475 345.07024487420114 0.475 187847325.58006305 0.475 6354768.716272553
